    0.110571563243865967E+01   -0.176419258117675781E+00   -0.501888275146484375E+00    0.696470260620116743E-01   -0.336037538714190065E+01   -0.933682663823638344E+06   -0.933679303448251216E+06   -0.460515351937698814E+01    1
    0.116217219829559326E+01   -0.102463638782501221E+01    0.301762580871582031E+00    0.370559692382812500E-01   -0.336037538714190065E+01   -0.675511286957974196E+06   -0.675507926582587068E+06   -0.461515351937698259E+01    1
   -0.137236225605010986E+01   -0.816777348518371582E-01    0.597184896469116211E+00    0.184053993225097634E+00   -0.336037538714190065E+01   -0.353722614752384834E+06   -0.353719254376997706E+06   -0.462515351937698149E+01    1
   -0.143249005079269409E+01    0.446044385433197021E+00    0.411430478096008301E+00   -0.787289619445801225E-01   -0.336037538714190065E+01   -0.318112019277950865E+06   -0.318108658902563737E+06   -0.463515351937698661E+01    1
    0.757222115993499756E+00   -0.556726098060607910E+00    0.466660976409912109E+00   -0.362957954406738281E+00   -0.336037538714190065E+01   -0.288244064328368811E+06   -0.288240703952981683E+06   -0.464515351937698728E+01    1
    0.950063645839691162E+00    0.202415049076080322E+00   -0.204520702362060547E+00   -0.516102313995361328E+00   -0.336037538714190065E+01   -0.153810001518717909E+06   -0.153806641143330780E+06   -0.465515351937698174E+01    1
    0.123244088888168335E+01   -0.715300440788269043E+00   -0.163481116294860840E+00    0.200529384613037154E+00   -0.336037538714190065E+01   -0.101630090702612564E+06   -0.101626730327225421E+06   -0.466515351937698153E+01    1
    0.129179280996322632E+01    0.409044206142425537E+00   -0.368922948837280273E+00   -0.722367572784423873E+00   -0.336037538714190065E+01   -0.741445557443910657E+05   -0.741411953690039227E+05   -0.467515351937698398E+01    1
    0.101762205362319946E+01    0.441894650459289551E+00   -0.499432682991027832E+00   -0.470423889160156261E+00   -0.336037538714190065E+01   -0.385657596169597455E+05   -0.385623992415726025E+05   -0.468515351937698377E+01    1
    0.140276473760604858E+01   -0.750075280666351318E+00    0.141747236251831055E+00   -0.158604812622070268E+00   -0.336037538714190065E+01   -0.105535926566516082E+05   -0.105502322812644670E+05   -0.469515351937698444E+01    1
    0.455426931381225586E+00   -0.336167335510253906E+00    0.198765873908996582E+00   -0.120849418640136763E+00   -0.336037538714190065E+01   -0.719029144310383799E+04   -0.718693106771669591E+04   -0.470515351937698423E+01    1
    0.881674647331237793E+00   -0.118913233280181885E+00    0.155291318893432617E+00   -0.522509002685546897E+00   -0.336037538714190065E+01   -0.650157083190453886E+04   -0.649821045651739678E+04   -0.471515351937698135E+01    1
    0.109897059202194214E+01    0.190218865871429443E+00   -0.312561631202697754E+00   -0.369918155670166060E+00   -0.336037538714190065E+01   -0.175995839708878043E+04   -0.175659802170163857E+04   -0.472515351937698025E+01    1
    0.125591146945953369E+01   -0.503682553768157959E+00   -0.738848209381103516E+00    0.636116504669189453E+00   -0.336037538714190065E+01   -0.141689210114167395E+04   -0.141353172575453209E+04   -0.473515351937698448E+01    1
   -0.998099505901336670E+00   -0.105257928371429443E+00    0.809121131896972656E-01    0.504344463348388672E+00   -0.336037538714190065E+01   -0.133085299053354515E+04   -0.132749261514640330E+04   -0.474515351937698782E+01    1
